trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95001}",20,0,-146.26517061182503,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.90002}",25,0,-132.0485911918681,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8500300000000001}",25,0,-97.17454790366767,"{0: 14, 1: 7, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.8000400000000001}",25,0,-129.1592948196245,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7500500000000001}",20,0,-130.8964948969823,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.7000600000000001}",20,0,-68.63959559420874,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6500700000000001}",25,0,-78.32168260855798,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.6000800000000002}",20,10,-11.143253766978626,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5500900000000002}",20,2,-12.293373978791537,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.5001000000000002}",20,0,-97.52359589142657,"{0: 16, 1: 0, 2: 0, 3: 2, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.45011000000000023}",20,0,-78.97665424709467,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.40012000000000025}",25,0,-32.90626243362464,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.3501300000000003}",25,9,-72.75725312944196,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.3001400000000003}",25,0,-99.51890499670473,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.2501500000000003}",25,4,-39.21186198842255,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.2001600000000003}",25,0,27.049045877990082,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1501700000000003}",25,13,6.939711265469535,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.1001800000000003}",20,0,-39.48444127665865,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.0501900000000003}",25,12,13.761080728598504,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.00020000000000029716}",20,5,-25.44356897993274,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,6,-16.274078293381162,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,6,-20.43066584695667,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,0,25.832483221159723,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",30,17,25.890477246761115,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,12,13.423395247923203,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-11.576423747170434,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",30,0,-14.815174351192613,"{0: 27, 1: 0, 2: 1, 3: 2, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,11,4.247777330243888,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",30,23,10.175990102807807,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",30,22,14.192517576330014,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
