trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.99999375001302082, 'e': 0.99999375001302082}",20,0,-79.6110722130159,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
2,False,"{'a': 0.99997500020833263, 'e': 0.99997500020833263}",25,9,-59.874290220738445,"{0: 8, 1: 2, 2: 6, 3: 0, 4: 0}",1
3,False,"{'a': 0.99994375105467959, 'e': 0.99994375105467959}",35,9,-104.77119294198071,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 2}",1
4,False,"{'a': 0.99990000333328888, 'e': 0.99990000333328888}",20,0,-96.41440086798207,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.99984375813785131, 'e': 0.99984375813785131}",25,0,-135.42979916570908,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.99977501687449377, 'e': 0.99977501687449377}",30,0,-118.71149590061412,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.99969378126174435, 'e': 0.99969378126174435}",20,0,-91.22172207378631,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
8,False,"{'a': 0.99960005333048896, 'e': 0.99960005333048896}",35,0,-163.807330414954,"{0: 19, 1: 2, 2: 12, 3: 1, 4: 1}",0
9,False,"{'a': 0.99949383542392123, 'e': 0.99949383542392123}",30,0,-162.89586951933515,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
10,False,"{'a': 0.99937513019748314, 'e': 0.99937513019748314}",20,0,-40.49308255330011,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.99924394061879918, 'e': 0.99924394061879918}",20,0,-239.39581488379855,"{0: 8, 1: 1, 2: 6, 3: 1, 4: 4}",0
12,False,"{'a': 0.99910026996760215, 'e': 0.99910026996760215}",20,0,-116.01992904684882,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.99894412183565051, 'e': 0.99894412183565051}",25,0,-172.87684224814194,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
14,False,"{'a': 0.99877550012663985, 'e': 0.99877550012663985}",20,0,-85.53003033626608,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.99859440905610375, 'e': 0.99859440905610375}",20,0,-65.57316873481537,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
16,False,"{'a': 0.99840085315130978, 'e': 0.99840085315130978}",20,0,-114.13321998781173,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
17,False,"{'a': 0.99819483725114522, 'e': 0.99819483725114522}",20,0,-130.64083306939727,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
18,False,"{'a': 0.99797636650599708, 'e': 0.99797636650599708}",20,0,-68.93067571480798,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.99774544637762264, 'e': 0.99774544637762264}",35,0,-118.33762485080584,"{0: 23, 1: 1, 2: 10, 3: 0, 4: 1}",0
20,False,"{'a': 0.99750208263901285, 'e': 0.99750208263901285}",25,1,-96.17387505942271,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 2}",1
21,False,"{'a': 0.99724628137424864, 'e': 0.99724628137424864}",25,11,-67.28012705326962,"{0: 7, 1: 4, 2: 2, 3: 0, 4: 1}",1
22,False,"{'a': 0.99697804897834841, 'e': 0.99697804897834841}",20,0,-160.67494632749074,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
23,False,"{'a': 0.99669739215710784, 'e': 0.99669739215710784}",20,0,-116.22696848634702,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
24,False,"{'a': 0.99640431792693307, 'e': 0.99640431792693307}",30,0,-156.98624446638698,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
25,False,"{'a': 0.99609883361466456, 'e': 0.99609883361466456}",25,0,-151.47714979073427,"{0: 13, 1: 1, 2: 8, 3: 2, 4: 1}",0
26,False,"{'a': 0.99578094685739404, 'e': 0.99578094685739404}",20,0,-117.31819784784308,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
27,False,"{'a': 0.99545066560227391, 'e': 0.99545066560227391}",25,0,-100.22054603286941,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
28,False,"{'a': 0.99510799810631856, 'e': 0.99510799810631856}",25,0,-118.50287382953103,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
29,False,"{'a': 0.99475295293619737, 'e': 0.99475295293619737}",20,0,-133.3759665888936,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
30,False,"{'a': 0.99438553896802118, 'e': 0.99438553896802118}",20,0,-175.06367006063175,"{0: 11, 1: 1, 2: 2, 3: 4, 4: 2}",0
31,False,"{'a': 0.99400576538711993, 'e': 0.99400576538711993}",20,0,-108.48196163723146,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
32,False,"{'a': 0.99361364168781341, 'e': 0.99361364168781341}",20,0,-140.6055043232935,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
33,False,"{'a': 0.99320917767317385, 'e': 0.99320917767317385}",25,0,-156.87795589121868,"{0: 13, 1: 2, 2: 5, 3: 4, 4: 1}",0
34,False,"{'a': 0.99279238345478038, 'e': 0.99279238345478038}",25,0,-167.44156939913827,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
35,False,"{'a': 0.99236326945246667, 'e': 0.99236326945246667}",30,0,-74.11461256850413,"{0: 20, 1: 6, 2: 2, 3: 2, 4: 0}",0
36,False,"{'a': 0.99192184639406067, 'e': 0.99192184639406067}",25,0,-106.8310855200834,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
37,False,"{'a': 0.99146812531511574, 'e': 0.99146812531511574}",30,0,-214.59581255968848,"{0: 17, 1: 1, 2: 8, 3: 1, 4: 3}",0
38,False,"{'a': 0.99100211755863521, 'e': 0.99100211755863521}",20,0,-139.98527040073415,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
39,False,"{'a': 0.99052383477478867, 'e': 0.99052383477478867}",20,7,-45.364330810876574,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
40,False,"{'a': 0.99003328892062081, 'e': 0.99003328892062081}",25,0,-38.831336344300105,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
41,False,"{'a': 0.98953049225975254, 'e': 0.98953049225975254}",20,0,-136.03448413434165,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
42,False,"{'a': 0.98901545736207419, 'e': 0.98901545736207419}",20,0,-149.3221795868968,"{0: 6, 1: 4, 2: 8, 3: 1, 4: 1}",0
43,False,"{'a': 0.98848819710343117, 'e': 0.98848819710343117}",30,0,-127.34608779961701,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
44,False,"{'a': 0.9879487246653027, 'e': 0.9879487246653027}",35,0,-199.830402618667,"{0: 21, 1: 3, 2: 7, 3: 1, 4: 3}",0
45,False,"{'a': 0.9873970535344716, 'e': 0.9873970535344716}",20,0,-101.86562061596287,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
46,False,"{'a': 0.98683319750268739, 'e': 0.98683319750268739}",25,0,-106.31232575874019,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
47,False,"{'a': 0.98625717066632146, 'e': 0.98625717066632146}",30,8,-66.95535378692925,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 1}",1
48,False,"{'a': 0.98566898742601483, 'e': 0.98566898742601483}",30,0,-186.73905058495058,"{0: 18, 1: 0, 2: 7, 3: 3, 4: 2}",0
49,False,"{'a': 0.98506866248631764, 'e': 0.98506866248631764}",25,0,-77.89327839632246,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
50,False,"{'a': 0.98445621085532231, 'e': 0.98445621085532231}",30,0,-89.54689096246994,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
51,False,"{'a': 0.98383164784428778, 'e': 0.98383164784428778}",20,0,-105.3609974886132,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
52,False,"{'a': 0.98319498906725666, 'e': 0.98319498906725666}",25,0,-62.9043359234717,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
53,False,"{'a': 0.98254625044066513, 'e': 0.98254625044066513}",20,0,-130.03467082213314,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
54,False,"{'a': 0.98188544818294532, 'e': 0.98188544818294532}",30,0,-132.22145255519322,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
55,False,"{'a': 0.98121259881411893, 'e': 0.98121259881411893}",20,0,-157.83290432987113,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 4}",0
56,False,"{'a': 0.98052771915538539, 'e': 0.98052771915538539}",20,0,-45.219983982338455,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
57,False,"{'a': 0.97983082632870055, 'e': 0.97983082632870055}",25,0,-105.21101205944515,"{0: 16, 1: 4, 2: 2, 3: 2, 4: 1}",0
58,False,"{'a': 0.97912193775634859, 'e': 0.97912193775634859}",30,3,-159.81058392614176,"{0: 11, 1: 6, 2: 8, 3: 1, 4: 1}",1
59,False,"{'a': 0.9784010711605069, 'e': 0.9784010711605069}",25,0,-199.9790642635427,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
60,False,"{'a': 0.97766824456280299, 'e': 0.97766824456280299}",20,0,-116.87475070083876,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
61,False,"{'a': 0.97692347628386356, 'e': 0.97692347628386356}",30,0,-216.13947533685268,"{0: 14, 1: 5, 2: 7, 3: 1, 4: 3}",0
62,False,"{'a': 0.97616678494285669, 'e': 0.97616678494285669}",25,0,-54.12684138195772,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
63,False,"{'a': 0.97539818945702661, 'e': 0.97539818945702661}",20,0,-25.728039776837754,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
64,False,"{'a': 0.97461770904122047, 'e': 0.97461770904122047}",20,0,-156.7402758369084,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
65,False,"{'a': 0.97382536320740787, 'e': 0.97382536320740787}",25,0,-162.17961700877177,"{0: 11, 1: 2, 2: 10, 3: 1, 4: 1}",0
66,False,"{'a': 0.97302117176419345, 'e': 0.97302117176419345}",20,0,-109.70615536110263,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
67,False,"{'a': 0.97220515481632153, 'e': 0.97220515481632153}",30,0,-127.66082509281989,"{0: 21, 1: 0, 2: 7, 3: 0, 4: 2}",0
68,False,"{'a': 0.97137733276417304, 'e': 0.97137733276417304}",25,0,-239.6937367078156,"{0: 9, 1: 6, 2: 6, 3: 0, 4: 4}",0
69,False,"{'a': 0.97053772630325652, 'e': 0.97053772630325652}",20,0,-19.437391735723068,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
70,False,"{'a': 0.9696863564236895, 'e': 0.9696863564236895}",20,5,-92.29360131537727,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 2}",1
71,False,"{'a': 0.96882324440967471, 'e': 0.96882324440967471}",20,0,-105.30022018763393,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
72,False,"{'a': 0.9679484118389674, 'e': 0.9679484118389674}",30,0,-128.1678618645014,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
73,False,"{'a': 0.96706188058233655, 'e': 0.96706188058233655}",20,0,-88.20668486689607,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
74,False,"{'a': 0.96616367280301718, 'e': 0.96616367280301718}",20,0,-108.89364274840338,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
75,False,"{'a': 0.96525381095615714, 'e': 0.96525381095615714}",25,4,-188.4892918555198,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 3}",1
76,False,"{'a': 0.96433231778825512, 'e': 0.96433231778825512}",20,0,-10.586646474877679,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
77,False,"{'a': 0.96339921633659231, 'e': 0.96339921633659231}",25,0,-164.73259059496957,"{0: 12, 1: 2, 2: 7, 3: 3, 4: 1}",0
78,False,"{'a': 0.96245452992865654, 'e': 0.96245452992865654}",30,0,-144.50593130531084,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
79,False,"{'a': 0.96149828218155864, 'e': 0.96149828218155864}",20,0,-245.2283105750616,"{0: 9, 1: 2, 2: 3, 3: 1, 4: 5}",0
80,False,"{'a': 0.96053049700144255, 'e': 0.96053049700144255}",20,0,-153.37875969995468,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
81,False,"{'a': 0.95955119858288729, 'e': 0.95955119858288729}",25,0,-101.21132601140852,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
82,False,"{'a': 0.95856041140830262, 'e': 0.95856041140830262}",20,0,-107.92855443064632,"{0: 13, 1: 4, 2: 0, 3: 1, 4: 2}",0
83,False,"{'a': 0.95755816024731588, 'e': 0.95755816024731588}",20,0,-145.35862993142572,"{0: 8, 1: 3, 2: 6, 3: 2, 4: 1}",0
84,False,"{'a': 0.95654447015615407, 'e': 0.95654447015615407}",20,0,-96.05429684005642,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
85,False,"{'a': 0.95551936647701685, 'e': 0.95551936647701685}",25,0,-100.80161731475786,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
86,False,"{'a': 0.95448287483744254, 'e': 0.95448287483744254}",20,0,-132.46564467745358,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
87,False,"{'a': 0.95343502114966827, 'e': 0.95343502114966827}",30,0,-84.4942820638241,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 2}",0
88,False,"{'a': 0.95237583160998174, 'e': 0.95237583160998174}",30,0,-111.35070573689067,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
89,False,"{'a': 0.95130533269806605, 'e': 0.95130533269806605}",20,0,-96.4098853626104,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
90,False,"{'a': 0.95022355117633839, 'e': 0.95022355117633839}",25,0,-157.37250692884885,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
91,False,"{'a': 0.94913051408928051, 'e': 0.94913051408928051}",30,0,-88.9770955188935,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
92,False,"{'a': 0.94802624876276265, 'e': 0.94802624876276265}",25,0,-129.91827621012024,"{0: 15, 1: 1, 2: 5, 3: 3, 4: 1}",0
93,False,"{'a': 0.94691078280336027, 'e': 0.94691078280336027}",20,0,-51.71317003278884,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
94,False,"{'a': 0.94578414409766443, 'e': 0.94578414409766443}",20,7,-69.64591541118176,"{0: 7, 1: 0, 2: 4, 3: 2, 4: 0}",1
95,False,"{'a': 0.94464636081158404, 'e': 0.94464636081158404}",25,0,-169.23194601162982,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
96,False,"{'a': 0.94349746138964208, 'e': 0.94349746138964208}",20,1,-74.49571711127788,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 0}",1
97,False,"{'a': 0.94233747455426409, 'e': 0.94233747455426409}",30,0,-109.82564245854084,"{0: 18, 1: 2, 2: 8, 3: 2, 4: 0}",0
98,False,"{'a': 0.94116642930506078, 'e': 0.94116642930506078}",20,8,-22.436650338545967,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
99,False,"{'a': 0.93998435491810217, 'e': 0.93998435491810217}",25,0,-49.92951671215603,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
100,False,"{'a': 0.93879128094518638, 'e': 0.93879128094518638}",20,0,-129.1390951040208,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
101,False,"{'a': 0.93758723721310067, 'e': 0.93758723721310067}",30,1,-161.2204121192752,"{0: 16, 1: 2, 2: 9, 3: 0, 4: 2}",1
102,False,"{'a': 0.93637225382287559, 'e': 0.93637225382287559}",25,0,-123.26762488225296,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
