trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99997500020833263}",30,0,-130.57332847876714,"{0: 15, 1: 4, 2: 9, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.99990000333328888}",20,0,-36.46527396973967,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.99977501687449377}",20,0,-131.17935470409046,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.99960005333048896}",25,0,-84.44151995625393,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.99937513019748314}",20,4,-36.71202593359715,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.99910026996760215}",20,0,-223.0723438628081,"{0: 9, 1: 4, 2: 2, 3: 0, 4: 5}",0
7,False,"{'a': 0.5, 'e': 0.99877550012663985}",20,8,-58.98198409117669,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.99840085315130978}",20,0,-138.60784809817332,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.99797636650599708}",20,0,-99.57808637957466,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.99750208263901285}",30,0,-71.87790261769702,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.99697804897834841}",20,0,-75.98876507895969,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.99640431792693307}",30,0,-113.51762217575518,"{0: 18, 1: 1, 2: 9, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.99578094685739404}",25,0,-111.34732295772947,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.99510799810631856}",20,0,-54.72840242040293,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.99438553896802118}",30,0,-179.21196314263744,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.99361364168781341}",35,0,-114.89090119807291,"{0: 25, 1: 4, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.99279238345478038}",20,0,-133.17621606364773,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.99192184639406067}",25,0,-128.5972494879035,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.99100211755863521}",25,3,-152.1849643334818,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 2}",1
20,False,"{'a': 0.5, 'e': 0.99003328892062081}",20,0,-42.07905791039645,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-66.84056364826858,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,14,-17.737541853526302,"{0: 8, 1: 2, 2: 0, 3: 1, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-161.04029664838316,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-87.54089696368843,"{0: 13, 1: 3, 2: 9, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-192.25952329330585,"{0: 7, 1: 4, 2: 6, 3: 0, 4: 3}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-158.8500889904269,"{0: 13, 1: 5, 2: 3, 3: 2, 4: 2}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-86.7227566686852,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,0,-145.94747338163887,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-93.7983721257938,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-194.93818007907132,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
